NALMA,Site,Long,Lat
Wa1/2,SC-40,-109.00,44.299999
Wa1/2,SC-182,-109.00,44.299999
Wa1/2,SC-4,-109.00,44.299999
Wa1/2,SC-6,-109.00,44.299999
Wa1/2,SC-123,-109.00,44.299999
Wa1/2,SC-253,-109.00,44.299999
Wa1/2,SC-295,-109.00,44.299999
Wa1/2,SC-128,-109.00,44.299999
Wa1/2,SC-192,-109.00,44.299999
Wa1/2,SC-122,-109.00,44.299999
Wa1/2,SC-206,-109.00,44.299999
Wa1/2,SC-142,-109.00,44.299999
Wa1/2,SC-44,-109.00,44.299999
Wa1/2,SC-17,-109.00,44.299999
Wa1/2,SC-18,-109.00,44.299999
Wa1/2,SC-16,-109.08,44.816666
Wa1/2,SC-37,-109.00,44.299999
Wa1/2,SC-210,-109.00,44.299999
Wa1/2,SC-54,-109.00,44.299999
Wa1/2,SC-2,-109.10,44.799999
Wa1/2,SC-12,-109.00,44.299999
Wa1/2,SC-129,-109.00,44.299999
Wa1/2,SC-47,-109.00,44.299999
Wa1/2,SC-46,-109.00,44.299999
Wa0,WW-71,-107.87,44.156109
Wa0,WW-73,-107.87,44.15556
Wa0,WW-74,-107.87,44.156109
Wa0,WW-75,-107.87,44.15556
Wa0,WW-76,-107.87,44.153332
Wa0,WW-77,-107.87,44.154999
Wa0,WW-78,-107.87,44.152779
Wa0,WW-79,-107.87,44.15028
Wa0,WW-80,-107.87,44.157829
Wa0,WW-83,-107.87,44.150829
Wa0,WW-84,-107.86,44.149578
Wa0,WW-85,-107.87,44.14917
Wa0,WW-86,-107.87,44.15477
Wa0,WW-87,-107.87,44.152222
Wa0,WW-90,-107.86,44.149559
Wa0,WW-91,-107.87,44.14806
Wa0,WW-96,-107.87,44.151669
Wa0,WW-97,-107.87,44.149391
Wa0,WW-98,-107.87,44.149719
Wa0,WW-99,-107.87,44.147171
Wa0,WW-101,-107.87,44.146389
Wa0,WW-112,-107.87,44.155499
Wa0,WW-113,-107.87,44.154751
Wa0,WW-114,-107.86,44.15472
Wa0,WW-115,-107.87,44.153561
Wa0,WW-117,-107.87,44.145561
Wa0,WW-118,-107.87,44.145111
Wa0,WW-119,-107.87,44.146641
Wa0,WW-125,-107.88,44.144501
Wa0,WW-171,-107.87,44.148891
Wa0,WW-172,-107.87,44.139091
Wa0,WW-186,-107.87,44.155972
Wa0,WW-192,-107.87,44.15625
Wa0,SC-67,-109.00,44.299999
Wa0,SC-69,-109.00,44.299999
Wa0,SC-121,-109.00,44.299999
Wa0,SC-308,-109.00,44.299999
Wa0,SC-345,-109.09,44.832298
Wa0,SC-349,-109.00,44.299999
Wa0,SC-351,-109.00,44.299999
Wa0,SC-79,-109.00,44.299999
Cf3,SC-8,-109.00,44.299999
Cf3,SC-9,-109.00,44.299999
Cf3,SC-10,-109.00,44.299999
Cf3,SC-11,-109.00,44.299999
Cf3,SC-21,-109.00,44.299999
Cf3,SC-22,-109.00,44.299999
Cf3,SC-23,-109.00,44.299999
Cf3,SC-24,-109.00,44.299999
Cf3,SC-25,-109.00,44.299999
Cf3,SC-28,-109.00,44.299999
Cf3,SC-48,-109.00,44.299999
Cf3,SC-49,-109.00,44.299999
Cf3,SC-50,-109.00,44.299999
Cf3,SC-51,-109.01,44.788898
Cf3,SC-52,-109.00,44.299999
Cf3,SC-55,-109.00,44.299999
Cf3,SC-56,-109.00,44.299999
Cf3,SC-57,-109.00,44.299999
Cf3,SC-59,-109.00,44.299999
Cf3,SC-60,-109.00,44.299999
Cf3,SC-70,-109.00,44.299999
Cf3,SC-71,-109.00,44.299999
Cf3,SC-72,-109.00,44.299999
Cf3,SC-73,-109.00,44.299999
Cf3,SC-75,-109.00,44.299999
Cf3,SC-76,-109.00,44.299999
Cf3,SC-77,-109.00,44.299999
Cf3,SC-80,-109.00,44.299999
Cf3,SC-81,-109.00,44.299999
Cf3,SC-100,-109.00,44.299999
Cf3,SC-101,-109.00,44.299999
Cf3,SC-102,-109.00,44.299999
Cf3,SC-103,-109.00,44.299999
Cf3,SC-105,-109.00,44.299999
Cf3,SC-106,-109.00,44.299999
Cf3,SC-107,-109.00,44.299999
Cf3,SC-138,-109.00,44.299999
Cf3,SC-149,-109.00,44.299999
Cf3,SC-150,-109.00,44.299999
Cf3,SC-152,-109.00,44.299999
Cf3,SC-153,-109.00,44.299999
Cf3,SC-154,-109.00,44.299999
Cf3,SC-155,-109.00,44.299999
Cf3,SC-158,-109.00,44.299999
Cf3,SC-159,-109.00,44.299999
Cf3,SC-162,-109.00,44.299999
Cf3,SC-163,-109.00,44.299999
Cf3,SC-164,-109.00,44.299999
Cf3,SC-175,-109.00,44.299999
Cf3,SC-176,-109.00,44.299999
Cf3,SC-183,-109.00,44.299999
Cf3,SC-184,-109.00,44.299999
Cf3,SC-202,-109.00,44.299999
Cf3,SC-203,-109.00,44.299999
Cf3,SC-204,-109.00,44.299999
Cf3,SC-214,-109.00,44.299999
Cf3,SC-230,-109.00,44.299999
Cf3,SC-231,-109.00,44.299999
Cf3,SC-233,-109.00,44.299999
Cf3,SC-235,-109.00,44.299999
Cf3,SC-350,-109.00,44.299999
