"","V1","V2"
"SC-40",0.11885,-0.045316
"SC-182",0.11885,-0.045316
"SC-4",0.11885,-0.045316
"SC-6",0.11885,-0.045316
"SC-123",0.11885,-0.045316
"SC-253",0.11885,-0.045316
"SC-295",0.11885,-0.045316
"SC-128",0.11885,-0.045316
"SC-192",0.11885,-0.045316
"SC-122",0.11885,-0.045316
"SC-206",0.11885,-0.045316
"SC-142",0.11885,-0.045316
"SC-44",0.11885,-0.045316
"SC-17",0.11885,-0.045316
"SC-18",0.11885,-0.045316
"SC-16",0.11885,-0.045316
"SC-37",0.11885,-0.045316
"SC-210",0.11885,-0.045316
"SC-54",0.11885,-0.045316
"SC-2",0.11885,-0.045316
"SC-12",0.11885,-0.045316
"SC-129",0.11885,-0.045316
"SC-47",0.11885,-0.045316
"SC-46",0.11885,-0.045316
"WW-71",-0.21847,0.0055334
"WW-73",-0.21847,0.0055334
"WW-74",-0.21847,0.0055334
"WW-75",-0.21847,0.0055334
"WW-76",-0.21847,0.0055334
"WW-77",-0.21847,0.0055334
"WW-78",-0.21847,0.0055334
"WW-79",-0.21847,0.0055334
"WW-80",-0.21847,0.0055334
"WW-83",-0.21847,0.0055334
"WW-84",-0.21847,0.0055334
"WW-85",-0.21847,0.0055334
"WW-86",-0.21847,0.0055334
"WW-87",-0.21847,0.0055334
"WW-90",-0.21847,0.0055334
"WW-91",-0.21847,0.0055334
"WW-96",-0.21847,0.0055334
"WW-97",-0.21847,0.0055334
"WW-98",-0.21847,0.0055334
"WW-99",-0.21847,0.0055334
"WW-101",-0.21847,0.0055334
"WW-112",-0.21847,0.0055334
"WW-113",-0.21847,0.0055334
"WW-114",-0.21847,0.0055334
"WW-115",-0.21847,0.0055334
"WW-117",-0.21847,0.0055334
"WW-118",-0.21847,0.0055334
"WW-119",-0.21847,0.0055334
"WW-125",-0.21847,0.0055334
"WW-171",-0.21847,0.0055334
"WW-172",-0.21847,0.0055334
"WW-186",-0.21847,0.0055334
"WW-192",-0.21847,0.0055334
"SC-67",-0.075452,0.077695
"SC-69",-0.075452,0.077695
"SC-121",-0.075452,0.077695
"SC-308",-0.075452,0.077695
"SC-345",-0.11462,0.072297
"SC-349",-0.075452,0.077695
"SC-351",-0.075452,0.077695
"SC-79",-0.075452,0.077695
"SC-8",0.099382,0.081844
"SC-9",0.099382,0.081844
"SC-10",0.099382,0.081844
"SC-11",0.099382,0.081844
"SC-21",0.099382,0.081844
"SC-22",0.099382,0.081844
"SC-23",0.099382,0.081844
"SC-24",0.099382,0.081844
"SC-25",0.099382,0.081844
"SC-28",0.099382,0.081844
"SC-48",0.099382,0.081844
"SC-49",0.099382,0.081844
"SC-50",0.099382,0.081844
"SC-51",0.0019582,0.10707
"SC-52",0.099382,0.081844
"SC-55",0.099382,0.081844
"SC-56",0.099382,0.081844
"SC-57",0.099382,0.081844
"SC-59",0.099382,0.081844
"SC-60",0.099382,0.081844
"SC-70",0.099382,0.081844
"SC-71",0.099382,0.081844
"SC-72",0.099382,0.081844
"SC-73",0.099382,0.081844
"SC-75",0.099382,0.081844
"SC-76",0.099382,0.081844
"SC-77",0.099382,0.081844
"SC-80",0.099382,0.081844
"SC-81",0.099382,0.081844
"SC-100",0.099382,0.081844
"SC-101",0.099382,0.081844
"SC-102",0.099382,0.081844
"SC-103",0.099382,0.081844
"SC-105",0.099382,0.081844
"SC-106",0.099382,0.081844
"SC-107",0.099382,0.081844
"SC-138",0.099382,0.081844
"SC-149",0.099382,0.081844
"SC-150",0.099382,0.081844
"SC-152",0.099382,0.081844
"SC-153",0.099382,0.081844
"SC-154",0.099382,0.081844
"SC-155",0.099382,0.081844
"SC-158",0.099382,0.081844
"SC-159",0.099382,0.081844
"SC-162",0.099382,0.081844
"SC-163",0.099382,0.081844
"SC-164",0.099382,0.081844
"SC-175",0.099382,0.081844
"SC-176",0.099382,0.081844
"SC-183",0.099382,0.081844
"SC-184",0.099382,0.081844
"SC-202",0.099382,0.081844
"SC-203",0.099382,0.081844
"SC-204",0.099382,0.081844
"SC-214",0.099382,0.081844
"SC-230",0.099382,0.081844
"SC-231",0.099382,0.081844
"SC-233",0.099382,0.081844
"SC-235",0.099382,0.081844
"SC-350",0.099382,0.081844
